Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
458769,1.0800000,5.8200000,103.0000000,0.4021465,0.1890714,44.5580292,0.1507911,1.0113267,0.0972050,2.2688663,5.1699238,35.4140091,15.8688002
458770,1.0800000,5.8800000,109.0000000,0.4221513,0.1823693,22.3203239,0.1437739,0.9491453,0.0972050,2.4165764,5.3934064,38.0423584,17.3628006
458771,1.0800000,5.9400000,223.0000000,0.6653773,0.0606617,0.6159030,0.9152577,3.9282918,0.0972050,7.9380913,11.7403708,289.6994629,689.1264038
458772,1.0800000,6.0000000,224.0000000,0.6684379,0.0491492,357.0344238,0.9135001,3.9282432,0.0972050,9.2458096,13.0730562,291.0728760,690.6635742
458773,1.0800000,6.0600000,112.0000000,0.4279329,0.1237841,322.5739441,0.1679728,1.4098395,0.0972050,3.5399871,6.5911360,42.2916527,22.4603996
458774,1.0800000,6.1200000,107.0000000,0.4055785,0.1355112,303.8578491,0.1918390,1.3050630,0.0972050,3.1952426,6.1327434,40.9308891,22.3703995
458775,1.0800000,6.1800000,105.0000000,0.3964694,0.1675782,294.2564697,0.2450675,1.2008837,0.0972050,2.6359007,5.4525676,41.7856369,23.6627998
458776,1.0800000,6.2400000,99.0000000,0.3826530,0.2193186,287.2233276,0.3266028,1.1625572,0.0972050,1.9618155,4.6824136,40.9706116,24.2099991
458777,1.0800000,6.3000000,97.0000000,0.3740495,0.3438318,283.6849670,0.3987124,1.2207370,0.0972050,1.0607817,3.6974003,43.9540634,28.0296001
458778,1.0800000,6.3600000,95.0000000,0.3712448,0.3665235,281.7789917,0.4596279,1.2792237,0.0563300,1.0049542,3.5676658,47.1993904,31.7159996
458781,1.0800000,6.5400000,30.0000000,0.1040500,0.1537744,32.9591103,0.1750999,0.8173580,0.0107770,1.8690321,2.9159770,8.3763380,3.7260001
458785,1.0800000,6.7800000,23.0000000,0.0960883,0.1006742,343.3285828,0.3046681,1.1617888,0.0180230,2.4374273,3.4632277,9.6297836,6.0804000
458790,1.0800000,7.0800000,28.0000000,0.1270481,0.3260617,147.9456787,0.1560673,0.4647321,0.0446940,0.7275409,2.2127845,6.8744621,2.0699999
458791,1.0800000,7.1400000,47.0000000,0.1963272,0.1742790,3.3149729,0.1376792,1.1011139,0.0634796,1.9377403,3.7624657,18.3694439,10.8360004
458792,1.0800000,7.2000000,27.0000000,0.1229860,0.3035243,202.7123566,0.1567620,0.4593683,0.0591110,0.7661160,2.2565033,6.4463587,1.8936000
458794,1.0800000,7.3200000,31.0000000,0.1101367,0.6309593,152.6104431,0.2098074,0.4759855,0.0161280,0.1313404,1.4810518,7.8891554,2.4191999
458795,1.0800000,7.3800000,31.0000000,0.1101367,0.6347108,169.1520081,0.1896774,0.4531832,0.0597830,0.1269570,1.4766685,7.3505425,2.1888001
458796,1.0800000,7.4400000,31.0000000,0.1101367,0.6350149,187.6807098,0.1879743,0.4499178,0.0597830,0.1266035,1.4763149,7.3505425,2.1888001
458797,1.0800000,7.5000000,31.0000000,0.1101367,0.6318510,204.7664185,0.2051576,0.4715521,0.0265600,0.1302951,1.4800066,7.8891554,2.4191999
458799,1.0800000,7.6200000,28.0000000,0.1211625,0.3886396,152.9949493,0.1415512,0.4581702,0.0475620,0.4665462,1.9793180,6.5660195,1.9044000
458800,1.0800000,7.6800000,48.0000000,0.1933127,0.2249728,356.2704468,0.1207193,0.8591839,0.0651153,1.5432297,3.2860198,16.8347778,8.3196001
458801,1.0800000,7.7400000,32.0000000,0.1285903,0.3264094,220.0149384,0.1360559,0.4814743,0.0413220,0.7303425,2.2249882,8.0624018,2.4588001
524293,1.1400000,5.1000000,111.0000000,0.3821757,0.1487893,81.0154266,0.4957326,1.7235507,0.0039530,3.3466032,5.6813378,59.2401543,50.7960014
524294,1.1400000,5.1600000,121.0000000,0.4168540,0.1071543,72.2695389,0.4300453,1.6636103,0.0639530,4.4412231,6.9918513,62.9697533,52.1279984
524295,1.1400000,5.2200000,129.0000000,0.4547810,0.1076049,58.8081589,0.3782765,1.6036748,0.1239530,4.4682751,7.2876945,68.0183411,57.1212006
524296,1.1400000,5.2800000,121.0000000,0.4103543,0.1423268,72.2806091,0.3162471,1.5437443,0.1839530,3.3201933,6.0192327,54.6005211,39.9851990
524297,1.1400000,5.3400000,120.0000000,0.4015200,0.1350686,70.6427689,0.2559130,1.4838200,0.1565960,3.3533976,6.1119723,51.8209877,35.6328011
524298,1.1400000,5.4000000,113.0000000,0.3848403,0.2040491,61.5912704,0.1696011,1.1591532,0.0965960,2.0462148,4.8683057,41.5537834,21.4092007
524299,1.1400000,5.4600000,102.0000000,0.3480910,0.2102155,11.2730427,0.0848840,0.9804840,0.0365960,1.8534708,4.5616188,33.4442673,14.1264000
524301,1.1400000,5.5800000,122.0000000,0.4504433,0.2017151,76.3342514,0.2636020,1.2441990,0.0557090,2.2389214,5.2973151,55.4184074,32.5152016
