Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Through vision
655381,1.26000000,6.06000000,100.00000000,33.13113022,15.20639992,912.00000000
655382,1.26000000,6.12000000,99.00000000,34.67346191,17.03520012,785.00000000
655383,1.26000000,6.18000000,97.00000000,35.48718643,18.21960068,638.00000000
655384,1.26000000,6.24000000,96.00000000,38.42972565,21.57119942,467.00000000
655385,1.26000000,6.30000000,96.00000000,42.96661377,26.61479950,259.00000000
655386,1.26000000,6.36000000,95.00000000,47.20066833,31.46400070,36.00000000
655390,1.26000000,6.60000000,53.00000000,26.02251625,18.82439995,118.00000000
655391,1.26000000,6.66000000,162.00000000,243.24531555,548.57879639,406.00000000
655392,1.26000000,6.72000000,103.00000000,95.89870453,140.72039795,452.00000000
655393,1.26000000,6.78000000,45.00000000,18.28397369,10.91880035,244.00000000
655395,1.26000000,6.90000000,36.00000000,14.51510143,7.92719984,154.00000000
655396,1.26000000,6.96000000,44.00000000,16.56618500,8.31599998,172.00000000
655398,1.26000000,7.08000000,64.00000000,21.48293114,9.23760033,282.00000000
655399,1.26000000,7.14000000,97.00000000,37.43161011,18.11879921,774.00000000
655400,1.26000000,7.20000000,68.00000000,20.04107094,7.62839985,506.00000000
655401,1.26000000,7.26000000,57.00000000,15.19201660,5.36759996,517.00000000
655402,1.26000000,7.32000000,57.00000000,14.75576210,5.14799976,539.00000000
655403,1.26000000,7.38000000,55.00000000,14.16781330,5.14080000,541.00000000
655404,1.26000000,7.44000000,56.00000000,14.94498730,5.80679989,505.00000000
655405,1.26000000,7.50000000,57.00000000,16.18703270,6.87599993,433.00000000
655406,1.26000000,7.56000000,60.00000000,18.30079842,8.43120003,363.00000000
655407,1.26000000,7.62000000,74.00000000,25.84308052,12.79440022,350.00000000
655408,1.26000000,7.68000000,97.00000000,39.62985229,20.96999931,648.00000000
655409,1.26000000,7.74000000,66.00000000,27.51416588,15.94079971,56.00000000
720901,1.32000000,5.10000000,87.00000000,33.76599121,18.19079971,86.00000000
720902,1.32000000,5.16000000,91.00000000,29.83559036,13.16520023,628.00000000
720903,1.32000000,5.22000000,106.00000000,38.54634476,20.59919930,911.00000000
720904,1.32000000,5.28000000,87.00000000,23.62095451,8.12160015,675.00000000
720905,1.32000000,5.34000000,79.00000000,20.41659355,6.43680000,482.00000000
720906,1.32000000,5.40000000,77.00000000,21.13310242,6.98759985,310.00000000
720907,1.32000000,5.46000000,73.00000000,22.17960930,7.99560022,84.00000000
720909,1.32000000,5.58000000,89.00000000,40.86299133,23.33160019,0.00000000
720910,1.32000000,5.64000000,94.00000000,39.41131210,20.65679932,112.00000000
720911,1.32000000,5.70000000,99.00000000,39.29815292,19.48320007,178.00000000
720912,1.32000000,5.76000000,98.00000000,36.76203156,17.33399963,221.00000000
720913,1.32000000,5.82000000,98.00000000,34.90399170,15.55920029,257.00000000
720914,1.32000000,5.88000000,99.00000000,34.05794525,14.75640011,283.00000000
720915,1.32000000,5.94000000,224.00000000,262.35757446,573.84362793,1633.00000000
720916,1.32000000,6.00000000,224.00000000,262.78009033,574.47717285,1638.00000000
720917,1.32000000,6.06000000,98.00000000,34.83038330,16.44120026,286.00000000
720918,1.32000000,6.12000000,96.00000000,35.73641205,17.90640068,262.00000000
720919,1.32000000,6.18000000,96.00000000,38.88750839,21.74399948,240.00000000
