Ref,x1,y1,x2,y2,Angular Connectivity,Angular Shortest Path Angle,Angular Shortest Path Order,Axial Line Ref,Connectivity,Segment Length
989,534162.088736,183660.584777,534200.865595,183695.152395,2.6643004,-1,-1,310,5,51.947716
990,534200.865595,183695.152395,534219.515086,183711.777477,3.2326641,-1,-1,310,5,24.983932
991,534219.515086,183711.777477,534225.917548,183717.48495,2.7673359,-1,-1,310,4,8.5771065
992,533980.321925,183719.895751,534033.201227,183702.6411,4,-1,-1,311,5,55.623226
993,534033.201227,183702.6411,534149.314564,183664.753022,2.6909027,-1,-1,311,5,122.1385
994,534149.314564,183664.753022,534162.088736,183660.584777,3.3090973,-1,-1,311,4,13.437029
995,533974.043652,183478.151293,533994.895825,183557.28064,2.9276934,-1,-1,312,4,81.830719
996,533994.895825,183557.28064,533997.868316,183568.560584,2.7533221,-1,-1,312,5,11.665026
997,533997.868316,183568.560584,533999.448171,183574.555778,3.2466779,-1,-1,312,5,6.1998625
998,533999.448171,183574.555778,534000.826678,183579.786907,4,-1,-1,312,6,5.4097123
999,534000.826678,183579.786907,534017.92916,183644.687011,3.0539846,-1,-1,312,5,67.115707
1000,534017.92916,183644.687011,534033.201227,183702.6411,2.9460154,-1,-1,312,5,59.932568
1001,534033.201227,183702.6411,534057.614802,183795.285174,4,-1,-1,312,6,95.806824
1002,534057.614802,183795.285174,534057.664841,183795.47506,3.9999998,-1,-1,312,5,0.19636907
1003,533882.083168,183491.493731,533966.312986,183479.272927,2.9463861,-1,-1,313,4,85.111755
1004,533966.312986,183479.272927,533974.043652,183478.151293,2.9276934,-1,-1,313,4,7.8116097
1005,533870.408253,183441.246764,533937.746316,183397.1272,2.7760887,-1,-1,314,3,80.504349
1006,533870.408253,183441.246764,533882.083168,183491.493731,1.7224751,-1,-1,315,2,51.585476
1007,533847.677431,183138.126973,533880.765511,183233.274373,4,-1,-1,316,5,100.73653
1008,533880.765511,183233.274373,533915.081054,183331.951438,4,-1,-1,316,6,104.47353
1009,533915.081054,183331.951438,533937.746316,183397.1272,2.8438089,-1,-1,316,5,69.004303
1010,533937.746316,183397.1272,533951.690079,183437.223597,2.1506054,-1,-1,316,4,42.451733
1011,533951.690079,183437.223597,533966.312986,183479.272927,3.0055857,-1,-1,316,5,44.519382
1012,533966.312986,183479.272927,533993.688601,183557.993677,3.1265831,-1,-1,316,5,83.344948
1013,533993.688601,183557.993677,533997.468058,183568.861806,2.8734171,-1,-1,316,5,11.506542
1014,533997.468058,183568.861806,533999.448171,183574.555778,4,-1,-1,316,6,6.0284462
1015,533999.448171,183574.555778,534001.228392,183579.674947,4,-1,-1,316,5,5.419879
1016,534017.92916,183644.687011,534037.544378,183637.694015,2,-1,-1,317,2,20.824474
1017,533932.435268,183819.102294,533947.934183,183852.220052,2.315361,-1,-1,318,3,36.565041
1018,533920.105184,183809.965789,533932.435268,183819.102294,0.87075675,-1,-1,319,2,15.346227
1019,533862.817362,183823.663791,533920.105184,183809.965789,2.5553956,-1,-1,320,3,58.902714
1020,533972.437428,183587.699087,534000.826678,183579.786907,4,-1,-1,321,5,29.471209
1021,534000.826678,183579.786907,534001.228392,183579.674947,3.0400231,-1,-1,321,5,0.41702437
1022,534001.228392,183579.674947,534139.527288,183541.130576,1.8690072,-1,-1,321,4,143.56969
1023,534139.527288,183541.130576,534351.931704,183481.932744,3.0909696,-1,-1,321,5,220.49948
1024,534351.931704,183481.932744,534356.425249,183480.680378,3.3558173,-1,-1,321,4,4.6648011
1025,534351.377735,183476.070861,534351.931704,183481.932744,4,-1,-1,322,5,5.8880019
1026,534351.931704,183481.932744,534360.099101,183568.356958,2.8008873,-1,-1,322,5,86.80928
1027,534360.099101,183568.356958,534367.985895,183651.811932,3.1991129,-1,-1,322,4,83.826813
1028,534108.795272,183254.53841,534133.537355,183277.133508,3.7738943,-1,-1,323,4,33.506851
1029,534133.537355,183277.133508,534265.370528,183397.5269,1.4153167,-1,-1,323,4,178.53447
1030,534265.370528,183397.5269,534351.377735,183476.070861,1.2796584,-1,-1,323,4,116.47486
1031,534351.377735,183476.070861,534356.425249,183480.680378,2.8869476,-1,-1,323,3,6.8355722
1032,533993.688601,183557.993677,533994.895825,183557.28064,4,-1,-1,324,5,1.4020742
1033,533994.895825,183557.28064,534265.370528,183397.5269,4,-1,-1,324,5,314.13025
1034,533951.690079,183437.223597,533982.60772,183426.774957,2,-1,-1,325,2,32.635479
1035,534139.527288,183541.130576,534161.842803,183591.821023,2.372308,-1,-1,326,4,55.385048
1036,534161.842803,183591.821023,534165.093239,183599.204499,3.6276922,-1,-1,326,4,8.0672827
1037,534149.314564,183664.753022,534151.631874,183651.263011,3.3552029,-1,-1,327,4,13.687597
1038,534151.631874,183651.263011,534161.146309,183595.8756,1.9825487,-1,-1,327,4,56.198662
