Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
917511,1.5,5.22,1.1806688,72,29.44891,15.354
917522,1.5,5.88,1.0394636,36,12.216704,6.0516
917523,1.5,5.94,0.94228411,153,215.50981,484.09561
917524,1.5,6,0.91462243,152,215.05286,483.88681
917525,1.5,6.06,0.95314455,38,12.528763,5.7708001
917535,1.5,6.66,1.0227268,163,209.72987,441.306
917539,1.5,6.9,1.7927015,14,2.8740633,0.84240001
917540,1.5,6.96,1.7135347,22,6.0653696,2.3687999
917542,1.5,7.08,2.582428,34,10.159804,3.9816
917543,1.5,7.14,2.5032611,48,16.803457,8.2080002
917544,1.5,7.2,2.4240942,29,8.1331902,3.0420001
917546,1.5,7.32,3.1642585,31,7.8891554,2.4191999
917547,1.5,7.38,3.0385926,31,7.3505425,2.1888001
917548,1.5,7.44,2.9220204,31,7.3505425,2.1888001
917549,1.5,7.5,2.8202167,31,7.8891554,2.4191999
917551,1.5,7.62,3.2581501,28,6.4126153,1.8288
917552,1.5,7.68,2.7207451,49,17.676918,9.0288
917553,1.5,7.74,2.4629831,30,7.4962111,2.2895999
983042,1.56,4.92,2.1806688,20,6.4694109,3.0743999
983043,1.56,4.98,2.1806688,24,8.7088013,4.8204002
983044,1.56,5.04,2.1806688,14,2.2690694,0.70560002
983045,1.56,5.1,2.1806688,22,6.2711897,2.826
983046,1.56,5.16,2.1806688,36,14.059,7.0307999
983047,1.56,5.22,1.1806688,77,29.25539,14.4576
983058,1.56,5.88,1.0567824,37,10.660983,4.6872001
983059,1.56,5.94,0.94228411,150,207.98819,459.79199
983060,1.56,6,0.91336679,150,207.98819,459.79199
983061,1.56,6.06,0.96794701,39,11.403004,5.0760002
983070,1.56,6.6,1.0572557,118,111.87857,173.2608
983071,1.56,6.66,1.0227268,161,201.50017,417.50641
983072,1.56,6.72,0.98616266,128,132.54646,251.6508
983073,1.56,6.78,0.94753695,101,88.504494,131.75999
983075,1.56,6.9,1.8392006,14,2.2241621,0.45719999
983076,1.56,6.96,1.7135347,22,5.482163,1.908
