Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Integration R5 step,T1024 Node Count,T1024 Node Count R5 step,T1024 Total Depth,T1024 Total Depth R5 step
163,531140.793407,184138.095983,531154.133119,184099.625494,3.1072955,50,3,40.717644,62.152149,22.16527,178,50,509.78125,112.78906
164,531091.400795,184089.16428,531154.133119,184099.625494,1.1072954,51,1,63.598595,44.939854,11.373097,178,36,705.03125,113.95312
165,531060.553704,184121.39462,531060.782857,184116.994225,3.0436037,52,4,4.4063578,66.459404,26.884806,178,51,476.74219,96.746094
166,531060.782857,184116.994225,531065.497338,184026.462826,2.9563963,52,4,90.654068,67.1894,26.358389,178,52,471.5625,102.58594
167,530922.424921,184035.240495,531065.497338,184026.462826,3.0721309,53,4,143.34143,75.842278,41.848156,178,93,417.76172,206.67578
168,531065.497338,184026.462826,531206.527247,184017.810468,2.9278691,53,4,141.29507,76.411003,40.666756,178,84,414.65234,173.50781
169,531282.101437,184085.298468,531294.562642,184021.679734,4,54,4,64.827652,60.478722,20.180716,178,47,523.88672,109.46094
170,531268.479945,184016.651855,531294.562642,184021.679734,1.9948233,55,3,26.562881,46.611523,13.095673,178,34,679.74609,88.273438
171,531294.562642,184021.679734,531317.354673,184026.073282,1.9981046,55,3,23.211634,46.611523,14.206437,178,40,679.74609,112.625
172,531268.479945,184016.651855,531279.573531,183955.446867,1.9839985,56,2,62.202236,42.862148,13.1497,178,40,739.20703,121.67578
173,531279.573531,183955.446867,531304.31269,183959.573805,2.0713086,57,3,25.08102,52.447456,18.454813,178,49,604.10938,130.10156
174,531304.31269,183959.573805,531329.366877,183963.753297,1.9357636,57,3,25.400402,55.001724,19.065832,178,45,576.05469,106.21094
175,531317.354673,184026.073282,531329.366877,183963.753297,2.0160015,58,2,63.467106,43.754169,13.441407,178,40,724.13672,119.03516
176,530810.256885,183814.547701,530916.388132,183816.148133,4,59,4,106.14331,63.394745,27.005676,178,58,499.78906,124.56641
177,531139.683702,184338.865635,531374.160466,184412.387824,4,60,4,245.73332,73.744011,25.060078,178,57,429.64844,129.64844
