Ref,x1,y1,x2,y2,Angular Connectivity,Axial Choice,Axial Choice [Line Length Wgt],Axial Choice [Line Length Wgt][Norm],Axial Choice [Norm],Axial Connectivity,Axial Integration [HH],Axial Line Length,Axial Line Ref,Axial Mean Depth,Axial Mean Depth [Line Length Wgt],Axial Node Count,Axial RA,Axial Total Depth,Axial Total Line Length,Connectivity,Segment Length
94,531158.779512,184280.043406,531176.603948,184225.137479,4,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,6,57.726696
95,531176.603948,184225.137479,531200.805668,184150.587138,4,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,6,78.380333
96,531200.805668,184150.587138,531224.447434,184077.761662,4,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,6,76.566856
97,531224.447434,184077.761662,531226.686905,184070.863256,4,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,6,7.2528086
98,531226.686905,184070.863256,531227.444303,184068.530187,2,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,3,2.4529297
99,531214.16151,184067.600453,531222.022192,184069.648122,2,463,12342538,0.12973912,0.26158193,6,2.0187511,238.82162,19,2.7166667,2.4149785,61,0.058192089,163,13793.731,3,8.1230087
100,531222.022192,184069.648122,531226.686905,184070.863256,4,463,12342538,0.12973912,0.26158193,6,2.0187511,238.82162,19,2.7166667,2.4149785,61,0.058192089,163,13793.731,6,4.8203835
101,531226.686905,184070.863256,531282.101437,184085.298468,4,463,12342538,0.12973912,0.26158193,6,2.0187511,238.82162,19,2.7166667,2.4149785,61,0.058192089,163,13793.731,6,57.263824
102,531282.101437,184085.298468,531360.813158,184105.802482,4,463,12342538,0.12973912,0.26158193,6,2.0187511,238.82162,19,2.7166667,2.4149785,61,0.058192089,163,13793.731,6,81.338486
103,531360.813158,184105.802482,531427.917161,184123.282742,4,463,12342538,0.12973912,0.26158193,6,2.0187511,238.82162,19,2.7166667,2.4149785,61,0.058192089,163,13793.731,6,69.343399
104,531427.917161,184123.282742,531443.26017,184127.27952,4,463,12342538,0.12973912,0.26158193,6,2.0187511,238.82162,19,2.7166667,2.4149785,61,0.058192089,163,13793.731,6,15.855036
105,531443.26017,184127.27952,531445.270572,184127.80322,2,463,12342538,0.12973912,0.26158193,6,2.0187511,238.82162,19,2.7166667,2.4149785,61,0.058192089,163,13793.731,3,2.0774934
106,531166.28244,183883.173244,531168.490957,183890.561739,2,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,20,2.4833333,2.0975304,61,0.050282486,149,13793.731,3,7.7115107
107,531168.490957,183890.561739,531168.634422,183891.041697,4,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,20,2.4833333,2.0975304,61,0.050282486,149,13793.731,6,0.50094116
108,531168.634422,183891.041697,531177.606206,183921.056404,4,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,20,2.4833333,2.0975304,61,0.050282486,149,13793.731,6,31.326914
109,531177.606206,183921.056404,531183.34523,183940.256055,4,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,20,2.4833333,2.0975304,61,0.050282486,149,13793.731,6,20.039038
110,531183.34523,183940.256055,531206.527247,184017.810468,4,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,20,2.4833333,2.0975304,61,0.050282486,149,13793.731,6,80.945
111,531206.527247,184017.810468,531222.022192,184069.648122,4,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,20,2.4833333,2.0975304,61,0.050282486,149,13793.731,6,54.103935
112,531222.022192,184069.648122,531224.447434,184077.761662,4,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,20,2.4833333,2.0975304,61,0.050282486,149,13793.731,6,8.468255
113,531224.447434,184077.761662,531225.605654,184081.636435,2,467,21532486,0.22633965,0.26384181,7,2.3363075,207.13977,20,2.4833333,2.0975304,61,0.050282486,149,13793.731,3,4.0441732
114,531103.958023,183944.145791,531183.34523,183940.256055,2,0,1152857.2,0.012118309,0,1,1.4049417,85.389229,21,3.4666667,3.0851495,61,0.083615817,208,13793.731,3,79.482445
115,531183.34523,183940.256055,531189.244935,183939.966987,2,0,1152857.2,0.012118309,0,1,1.4049417,85.389229,21,3.4666667,3.0851495,61,0.083615817,208,13793.731,3,5.9067822
116,531274.235025,184528.638482,531275.708412,184523.127156,2,0,1163713.4,0.012232422,0,1,1.2525985,90.122643,22,3.7666667,3.1376421,61,0.093785308,226,13793.731,3,5.7048731
117,531275.708412,184523.127156,531297.510832,184441.573404,2,0,1163713.4,0.012232422,0,1,1.2525985,90.122643,22,3.7666667,3.1376421,61,0.093785308,226,13793.731,3,84.41777
118,531332.577077,184583.962646,531340.829339,184549.913463,2,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,23,2.5999999,2.1917222,61,0.054237287,156,13793.731,3,35.034935
119,531340.829339,184549.913463,531374.160466,184412.387824,4,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,23,2.5999999,2.1917222,61,0.054237287,156,13793.731,6,141.50713
120,531374.160466,184412.387824,531391.966563,184338.919115,4,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,23,2.5999999,2.1917222,61,0.054237287,156,13793.731,6,75.595688
121,531391.966563,184338.919115,531408.976546,184268.735201,4,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,23,2.5999999,2.1917222,61,0.054237287,156,13793.731,6,72.215797
122,531408.976546,184268.735201,531426.238998,184197.509594,4,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,23,2.5999999,2.1917222,61,0.054237287,156,13793.731,6,73.287651
123,531426.238998,184197.509594,531433.414157,184167.904584,4,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,23,2.5999999,2.1917222,61,0.054237287,156,13793.731,6,30.462101
124,531433.414157,184167.904584,531443.26017,184127.27952,4,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,23,2.5999999,2.1917222,61,0.054237287,156,13793.731,6,41.801193
125,531443.26017,184127.27952,531443.794706,184125.074001,2,420,27216466,0.28608704,0.23728813,7,2.1659517,472.17386,23,2.5999999,2.1917222,61,0.054237287,156,13793.731,3,2.2693708
126,531026.454449,184114.297086,531040.97912,184117.3203,2,482,17686602,0.18591347,0.2723164,6,2.0793135,424.06982,24,2.6666667,2.2358756,61,0.056497175,160,13793.731,3,14.835966
127,531040.97912,184117.3203,531060.553704,184121.39462,4,482,17686602,0.18591347,0.2723164,6,2.0793135,424.06982,24,2.6666667,2.2358756,61,0.056497175,160,13793.731,6,19.99411
128,531060.553704,184121.39462,531140.793407,184138.095983,4,482,17686602,0.18591347,0.2723164,6,2.0793135,424.06982,24,2.6666667,2.2358756,61,0.056497175,160,13793.731,6,81.959412
129,531140.793407,184138.095983,531200.805668,184150.587138,4,482,17686602,0.18591347,0.2723164,6,2.0793135,424.06982,24,2.6666667,2.2358756,61,0.056497175,160,13793.731,6,61.298454
130,531200.805668,184150.587138,531426.238998,184197.509594,4,482,17686602,0.18591347,0.2723164,6,2.0793135,424.06982,24,2.6666667,2.2358756,61,0.056497175,160,13793.731,6,230.26486
131,531426.238998,184197.509594,531437.346019,184199.821447,4,482,17686602,0.18591347,0.2723164,6,2.0793135,424.06982,24,2.6666667,2.2358756,61,0.056497175,160,13793.731,6,11.345068
132,531437.346019,184199.821447,531441.626255,184200.71235,2,482,17686602,0.18591347,0.2723164,6,2.0793135,424.06982,24,2.6666667,2.2358756,61,0.056497175,160,13793.731,3,4.3719711
133,531379.087467,183726.907975,531379.770132,183732.449503,2,705,27842404,0.29266661,0.39830509,8,2.28496,483.51025,25,2.5166667,2.2431903,61,0.05141243,151,13793.731,3,5.5834184
134,531379.770132,183732.449503,531382.423865,183753.991164,4,705,27842404,0.29266661,0.39830509,8,2.28496,483.51025,25,2.5166667,2.2431903,61,0.05141243,151,13793.731,6,21.704504
