Ref,x,y,Connectivity,Gate Counts,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
5767191,4.16000000,5.72000000,83.00000000,19.00000000,0.13916411,0.19845645,236.65837097,0.30838165,0.86481643,0.01384400,1.64601624,2.96849227,26.55851173,11.59360027
5767193,4.16000000,5.80000000,191.00000000,46.00000000,0.31105241,0.21734290,120.68273163,0.36902741,1.09848118,0.02878100,2.40494657,4.24081182,79.88383484,44.45920181
5767194,4.16000000,5.84000000,212.00000000,73.00000000,0.34948102,0.16701333,129.24226379,0.31205773,1.06111217,0.05595141,2.98526502,5.12791920,84.57128143,45.60960007
5767195,4.16000000,5.88000000,265.00000000,98.00000000,0.42633107,0.12480464,142.94563293,0.28175122,1.41204488,0.07145700,3.94192553,6.55183649,113.17829895,69.46720123
5767196,4.16000000,5.92000000,359.00000000,171.00000000,0.55571675,0.04973808,161.80322266,0.30898935,3.17859626,0.07346156,8.57209110,11.84914875,219.05226135,250.50399780
5767197,4.16000000,5.96000000,422.00000000,197.00000000,0.66198444,0.05547662,178.01463318,0.55447716,3.17757821,0.09143370,8.21724606,12.24542332,352.45587158,584.64477539
5767198,4.16000000,6.00000000,429.00000000,187.00000000,0.66433090,0.05536072,185.37506104,0.55563104,3.17794347,0.08969356,8.25730419,12.27994156,360.37619019,592.86877441
5767199,4.16000000,6.04000000,318.00000000,180.00000000,0.52326691,0.08409193,217.38981628,0.22509995,1.92655444,0.07285640,5.74604416,8.84279156,147.02336121,101.22720337
5767200,4.16000000,6.08000000,258.00000000,110.00000000,0.42910764,0.12706333,223.90039062,0.30591378,1.31544232,0.07145700,3.95207620,6.51445246,110.61760712,67.16799927
5767201,4.16000000,6.12000000,218.00000000,63.00000000,0.35836163,0.16597021,235.36425781,0.35726604,1.18077481,0.04945559,3.05985165,5.20895529,92.67459106,54.83679962
5767202,4.16000000,6.16000000,195.00000000,35.00000000,0.31920010,0.21040750,243.16712952,0.41862997,1.21971762,0.01375000,2.53594708,4.36622238,90.38805389,57.24000168
5767204,4.16000000,6.24000000,101.00000000,21.00000000,0.17461082,0.19243610,149.12361145,0.25366578,0.78916913,0.01795000,2.00389957,3.37673688,34.77729797,15.68799973
5767205,4.16000000,6.28000000,123.00000000,15.00000000,0.20859823,0.21389765,171.60993958,0.22884414,0.76659405,0.01795000,1.97009265,3.50071883,42.52476883,18.79999924
5767206,4.16000000,6.32000000,131.00000000,15.00000000,0.22335078,0.21806383,186.03773499,0.22861712,0.76059556,0.01795000,2.02045870,3.58762336,45.94886780,20.48959923
5767207,4.16000000,6.36000000,139.00000000,14.00000000,0.22685882,0.21312669,195.17918396,0.24138388,0.80903679,0.01795000,2.08962512,3.65732765,50.99699783,23.60479927
5767208,4.16000000,6.40000000,132.00000000,21.00000000,0.22002594,0.15220703,208.67878723,0.27406040,0.96457058,0.01795000,2.75004888,4.26210880,52.45423126,26.92160034
5767209,4.16000000,6.44000000,102.00000000,12.00000000,0.17192885,0.25608528,242.74719238,0.36862445,1.00192845,0.01795000,1.60349905,2.90460443,40.24205399,21.13599968
5767211,4.16000000,6.52000000,326.00000000,49.00000000,0.52155209,0.21515653,138.60214233,0.27027109,1.52818894,0.02030100,2.25803280,5.51920462,161.78126526,114.14240265
5767212,4.16000000,6.56000000,336.00000000,145.00000000,0.53963876,0.19575922,148.48721313,0.25495759,1.51963496,0.06030100,2.63928843,5.88566303,165.17070007,120.35520172
5767213,4.16000000,6.60000000,357.00000000,148.00000000,0.56808472,0.10352783,162.30606079,0.28159255,2.61250830,0.10030100,4.96817493,8.30391502,190.96337891,171.18879700
5767214,4.16000000,6.64000000,418.00000000,239.00000000,0.68203145,0.10084309,176.13168335,0.57163495,2.99529004,0.14030100,5.69965029,9.21900558,328.46304321,502.57598877
5767215,4.16000000,6.68000000,440.00000000,260.00000000,0.70564002,0.10374071,181.02478027,0.61542028,2.99450040,0.18030100,5.58131027,9.24531937,356.59857178,544.34240723
5767216,4.16000000,6.72000000,414.00000000,112.00000000,0.69689822,0.10182016,185.81121826,0.58892614,2.99534655,0.14589000,5.73632526,9.27412033,315.03564453,467.95199585
5767217,4.16000000,6.76000000,374.00000000,28.00000000,0.59764892,0.08728699,201.86882019,0.30887875,2.61647415,0.10589000,5.83722830,9.27583981,209.02258301,196.90879822
5767218,4.16000000,6.80000000,361.00000000,11.00000000,0.57876372,0.14612573,217.81564331,0.27281424,1.51851976,0.06589000,3.62678242,7.05492210,182.35919189,132.28959656
5767219,4.16000000,6.84000000,360.00000000,4.00000000,0.57358980,0.14627071,227.11004639,0.29547673,1.52693367,0.02589000,3.51275921,7.01983595,185.48324585,132.07839966
5832714,4.20000000,5.20000000,267.00000000,555.00000000,0.42893383,0.10067575,95.79868317,0.04951762,1.51506734,0.02550500,4.94227791,7.31707764,111.08842468,71.16799927
5832715,4.20000000,5.24000000,197.00000000,350.00000000,0.31786796,0.17817964,325.89474487,0.13058084,1.00981629,0.00636800,3.00008845,4.73477411,76.27728271,41.72480011
5832730,4.20000000,5.84000000,184.00000000,34.00000000,0.30163571,0.17199865,140.39147949,0.34439307,1.07868350,0.02412814,2.82118583,4.69443989,74.76249695,39.43840027
5832731,4.20000000,5.88000000,221.00000000,103.00000000,0.35869041,0.11405125,154.87237549,0.34669641,1.49435389,0.03145700,3.96469712,6.28658485,96.87032318,62.32799911
5832732,4.20000000,5.92000000,335.00000000,197.00000000,0.51776981,0.05266553,168.62806702,0.36259669,3.21857429,0.03577766,7.89399672,11.11501503,215.73680115,274.74719238
5832733,4.20000000,5.96000000,389.00000000,182.00000000,0.60804635,0.07121003,178.50521851,0.62266135,3.21757245,0.06514262,6.59039450,10.35863876,339.23870850,591.96160889
5832734,4.20000000,6.00000000,394.00000000,172.00000000,0.60746771,0.07111673,183.02789307,0.62376970,3.21793175,0.06267675,6.59365320,10.36049843,344.53829956,597.44958496
