Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,Topological Choice,Topological Choice [SLW],Topological Mean Depth,Topological Mean Depth [SLW],Topological Total Depth,Topological Total Length,Topological Total Nodes
132,531360.813158,184105.802482,531367.863502,184047.323233,2.5553956,38,3,58.902714,221,764064.12,3.3672316,3.3934183,596,12216.636,178
133,531177.606206,183921.056404,531180.045933,183891.686354,4,39,5,29.471209,723,2602465.2,2.378531,2.3906174,421,12216.636,178
134,531180.045933,183891.686354,531180.080455,183891.270761,3.0400231,39,5,0.41702437,983,3268386.5,2.378531,2.3849316,421,12216.636,178
135,531180.080455,183891.270761,531191.965639,183748.193874,1.8690072,39,4,143.56969,1485,7022539.5,2.378531,2.4132102,421,12216.636,178
136,531191.965639,183748.193874,531210.219332,183528.451248,3.0909696,39,5,220.49948,1227,5516131,2.378531,2.4286859,421,12216.636,178
137,531210.219332,183528.451248,531210.6055,183523.802459,3.3558173,39,4,4.6648011,526,1775942.8,2.378531,2.3857613,421,12216.636,178
138,531204.529923,183526.934938,531210.219332,183528.451248,4,40,5,5.8880019,532,2455508.8,2.7796609,2.7575309,492,12216.636,178
139,531210.219332,183528.451248,531294.100666,183550.806851,2.8008873,40,5,86.80928,670,4129400.8,2.7796609,2.7759273,492,12216.636,178
140,531294.100666,183550.806851,531375.100124,183572.394391,1.9834378,40,3,83.826813,488,2778970.5,2.7796609,2.7752447,492,12216.636,178
141,530912.566958,183677.466796,530942.320478,183662.126313,3.7738943,41,4,33.475399,787,5359543.5,2.6158192,2.465703,463,12216.636,178
142,530942.320478,183662.126313,531101.00503,183580.310867,1.4153167,41,4,178.53447,851,6337889.5,2.6158192,2.4954147,463,12216.636,178
143,531101.00503,183580.310867,531204.529923,183526.934938,1.2796584,41,4,116.47486,788,4309819.5,2.6158192,2.4826162,463,12216.636,178
144,531204.529923,183526.934938,531210.6055,183523.802459,2.8869476,41,3,6.8355722,576,2585977.8,2.6158192,2.4603233,463,12216.636,178
145,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,42,5,314.13025,306,4517530,2.7288136,2.7338562,483,12216.636,178
146,531156.88079,183889.431752,531157.130183,183890.811468,4,42,5,1.4020742,298,934444.69,2.7288136,2.6638653,483,12216.636,178
147,531029.291446,183888.25309,531030.230687,183855.631128,2,43,2,32.635479,177,397630.69,3.1299436,3.0484974,554,12216.636,178
148,531191.965639,183748.193874,531247.250971,183744.871861,2.372308,44,4,55.385048,673,1334088.5,3.1525424,3.2908733,558,12216.636,178
149,531247.250971,183744.871861,531255.303728,183744.387983,3.6276922,44,4,8.0672827,460,608374.31,3.1525424,3.2781186,558,12216.636,178
150,531247.250971,183744.871861,531250.811287,183746.933134,2.6622484,45,4,4.1139636,283,261669.55,3.3050847,3.5066164,585,12216.636,178
151,531250.811287,183746.933134,531299.446867,183775.091082,1.9825487,45,4,56.198662,416,948424.81,3.3050847,3.5216358,585,12216.636,178
152,531299.446867,183775.091082,531311.29242,183781.949157,3.3552032,45,4,13.687597,285,404303.28,3.3050847,3.5093675,585,12216.636,178
153,531250.811287,183746.933134,531255.303728,183744.387983,3.7100596,46,4,5.1633153,281,395648.72,3.4067798,3.5800188,603,12216.636,178
154,531255.303728,183744.387983,531297.758244,183720.335774,0.85895824,46,4,48.794411,341,778204.88,3.4067798,3.5928559,603,12216.636,178
