Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
458777,1.08000000,6.30000000,97.00000000,43.95406342,28.02960014,1.86498284,3.83423519,0.45996881,0.82359940,3.16139412,1866.00000000,2.51827168
458778,1.08000000,6.36000000,95.00000000,47.19939041,31.71599960,1.86355245,3.83233380,0.45974070,0.82355022,3.16246653,1866.00000000,2.51962066
458781,1.08000000,6.54000000,30.00000000,8.37633801,3.72600007,1.75368047,3.77892470,0.45333356,0.82216042,3.19302940,1866.00000000,2.61941290
458785,1.08000000,6.78000000,23.00000000,9.62978363,6.08039999,1.70983136,3.75687957,0.45068893,0.82158238,3.20589805,1866.00000000,2.66360617
458790,1.08000000,7.08000000,28.00000000,6.87446213,2.06999993,1.90601981,2.79338551,0.33510470,0.79333347,3.96675611,1866.00000000,2.87939787
458791,1.08000000,7.14000000,47.00000000,18.36944389,10.83600044,1.95095527,3.32454348,0.39882433,0.80968767,3.49276137,1866.00000000,2.61115074
458792,1.08000000,7.20000000,27.00000000,6.44635868,1.89359999,1.96788847,2.88354516,0.34592056,0.79626834,3.87399459,1866.00000000,2.77951717
458794,1.08000000,7.32000000,31.00000000,7.88915539,2.41919994,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
458795,1.08000000,7.38000000,31.00000000,7.35054255,2.18880010,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
458796,1.08000000,7.44000000,31.00000000,7.35054255,2.18880010,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
458797,1.08000000,7.50000000,31.00000000,7.88915539,2.41919994,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
458799,1.08000000,7.62000000,28.00000000,6.56601954,1.90439999,1.94580364,2.68703103,0.32234600,0.78977633,4.08418226,1866.00000000,2.90026283
458800,1.08000000,7.68000000,48.00000000,16.83477783,8.31960011,2.00013089,2.71965551,0.32625976,0.79087883,4.04718494,1866.00000000,2.84728551
458801,1.08000000,7.74000000,32.00000000,8.06240177,2.45880008,1.95549119,2.69358706,0.32313249,0.78999871,4.07667542,1866.00000000,2.89036322
