Ref,x,y,Connectivity,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
589872,1.2,7.68,97,2.6908958,2.8637815,2.427206,1866,39.704243,21.243601
589873,1.2,7.74,65,2.8271236,2.9063456,2.4678395,1866,29.483154,17.607599
655365,1.26,5.1,99,1.5924388,2.4265399,2.1424375,1866,45.318523,31.5648
655366,1.26,5.16,107,1.512225,2.3947136,2.1128318,1866,44.779747,28.5732
655367,1.26,5.22,120,1.478604,2.3721101,2.0849037,1866,52.115326,34.5816
655368,1.26,5.28,101,1.5867736,2.3566394,2.0587082,1866,34.011791,17.1756
655369,1.26,5.34,92,1.6622508,2.3494909,2.0342674,1866,26.100863,9.7812004
655370,1.26,5.4,84,1.7695081,2.3430686,2.0115864,1866,22.154079,7.0092001
655371,1.26,5.46,77,2.1554229,2.3592968,1.9906479,1866,22.193871,7.5348001
655373,1.26,5.58,100,1.7919176,2.3056316,1.9537706,1866,45.400215,26.607599
655374,1.26,5.64,106,1.7108268,2.2808464,1.9377857,1866,44.579544,24.2964
655375,1.26,5.7,104,1.6663373,2.2567999,1.9234732,1866,40.012066,19.9692
655376,1.26,5.76,104,1.7019628,2.2314947,1.9108442,1866,37.269123,17.3412
655377,1.26,5.82,103,1.6464088,2.1947522,1.8999158,1866,35.248875,15.7536
655378,1.26,5.88,101,1.5967472,2.16078,1.8907137,1866,32.400887,13.5576
655379,1.26,5.94,226,1.2641205,2.1371353,1.8832655,1866,268.78516,601.01282
655380,1.26,6,225,1.2649937,2.1306319,1.8775945,1866,268.51459,601.1676
655381,1.26,6.06,100,1.5990999,2.141516,1.873702,1866,33.13113,15.2064
655382,1.26,6.12,99,1.7289351,2.1689026,1.87157,1866,34.673462,17.0352
655383,1.26,6.18,97,1.6092021,2.1909869,1.8711724,1866,35.487186,18.219601
655384,1.26,6.24,96,1.6315744,2.2064931,1.8724883,1866,38.429726,21.571199
655385,1.26,6.3,96,1.6866051,2.2220905,1.8755,1866,42.966614,26.614799
655386,1.26,6.36,95,1.7915378,2.2370322,1.8801913,1866,47.200668,31.464001
655390,1.26,6.6,53,1.9096547,2.2225907,1.91497,1866,26.022516,18.8244
655391,1.26,6.66,162,1.6617597,2.2131431,1.9277465,1866,243.24532,548.5788
655392,1.26,6.72,103,1.5252253,2.2154121,1.9422469,1866,95.898705,140.7204
655393,1.26,6.78,45,1.6784252,2.2277641,1.9584601,1866,18.283974,10.9188
655395,1.26,6.9,36,2.168978,2.2892675,1.9958037,1866,14.515101,7.9271998
655396,1.26,6.96,44,2.1369524,2.3047543,2.0168557,1866,16.566185,8.316
655398,1.26,7.08,64,2.3657763,2.3723853,2.0637071,1866,21.482931,9.2376003
655399,1.26,7.14,97,2.398771,2.4189157,2.0895624,1866,37.43161,18.118799
655400,1.26,7.2,68,2.4327395,2.4656487,2.1170897,1866,20.041071,7.6283998
655401,1.26,7.26,57,2.5451181,2.5049815,2.1462741,1866,15.192017,5.3676
655402,1.26,7.32,57,2.6075218,2.5487423,2.1770909,1866,14.755762,5.1479998
