Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
655404,1.26,7.44,1.4781808,1866,2758.2854,56,14.944987,5.8067999
655405,1.26,7.5,1.4720453,1866,2746.8364,57,16.187033,6.8759999
655406,1.26,7.56,1.461642,1866,2727.4241,60,18.300798,8.4312
655407,1.26,7.62,1.4452342,1866,2696.8069,74,25.843081,12.7944
655408,1.26,7.68,1.4327675,1866,2673.5442,97,39.629852,20.969999
655409,1.26,7.74,1.4389074,1866,2685.0012,66,27.514166,15.9408
720901,1.32,5.1,1.2110261,1866,2259.7747,87,33.765991,18.1908
720902,1.32,5.16,1.0875977,1866,2029.4573,91,29.83559,13.1652
720903,1.32,5.22,1.0533723,1866,1965.5927,106,38.546345,20.599199
720904,1.32,5.28,1.1810751,1866,2203.8862,87,23.620955,8.1216002
720905,1.32,5.34,1.3809162,1866,2576.7898,79,20.416594,6.4368
720906,1.32,5.4,1.5366012,1866,2867.2979,77,21.133102,6.9875998
720907,1.32,5.46,1.7445852,1866,3255.396,73,22.179609,7.9956002
720909,1.32,5.58,1.5141853,1866,2825.4697,89,40.862991,23.3316
720910,1.32,5.64,1.481473,1866,2764.4285,94,39.411312,20.656799
720911,1.32,5.7,1.4609885,1866,2726.2046,99,39.298153,19.4832
720912,1.32,5.76,1.4544278,1866,2713.9624,98,36.762032,17.334
720913,1.32,5.82,1.435377,1866,2678.4136,98,34.903992,15.5592
720914,1.32,5.88,1.3317215,1866,2484.9924,99,34.057945,14.7564
720915,1.32,5.94,0.97646081,1866,1822.0759,224,262.35757,573.84363
720916,1.32,6,0.98202032,1866,1832.45,224,262.78009,574.47717
720917,1.32,6.06,1.3481644,1866,2515.6748,98,34.830383,16.4412
720918,1.32,6.12,1.4546739,1866,2714.4214,96,35.736412,17.906401
720919,1.32,6.18,1.4712516,1866,2745.3555,96,38.887508,21.743999
720920,1.32,6.24,1.4875467,1866,2775.7622,96,41.457706,24.4944
