Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length
210,531180.080455,183891.270761,531191.965639,183748.193874,4,39,6,143.56969
211,531191.965639,183748.193874,531210.219332,183528.451248,4,39,6,220.49948
212,531210.219332,183528.451248,531210.6055,183523.802459,4,39,6,4.6648011
213,531210.6055,183523.802459,531212.594948,183499.852969,2,39,3,24.031979
214,531191.28971,183523.406227,531204.529923,183526.934938,2,40,3,13.702374
215,531204.529923,183526.934938,531210.219332,183528.451248,4,40,6,5.8880019
216,531210.219332,183528.451248,531294.100666,183550.806851,4,40,6,86.80928
217,531294.100666,183550.806851,531375.100124,183572.394391,4,40,6,83.826813
218,531375.100124,183572.394391,531385.782456,183575.241389,2,40,3,11.055208
219,530904.180192,183681.79089,530912.566958,183677.466796,2,41,3,9.4358692
220,530912.566958,183677.466796,530942.320478,183662.126313,4,41,6,33.475399
221,530942.320478,183662.126313,531101.00503,183580.310867,4,41,6,178.53447
222,531101.00503,183580.310867,531204.529923,183526.934938,3.9999998,41,6,116.47486
223,531204.529923,183526.934938,531210.6055,183523.802459,4,41,6,6.8355722
224,531210.6055,183523.802459,531226.595062,183515.558473,2,41,3,17.989702
225,531087.294754,183504.461649,531101.00503,183580.310867,2,42,3,77.078369
226,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,42,6,314.13025
227,531156.88079,183889.431752,531157.130183,183890.811468,4,42,6,1.4020742
228,531157.130183,183890.811468,531157.699331,183893.960157,2,42,3,3.1997147
229,531029.208299,183891.140964,531029.291446,183888.25309,2,43,3,2.8890703
230,531029.291446,183888.25309,531030.230687,183855.631128,2,43,3,32.635479
231,531182.681866,183748.751722,531191.965639,183748.193874,2,44,3,9.300518
232,531191.965639,183748.193874,531247.250971,183744.871861,4,44,6,55.385048
233,531247.250971,183744.871861,531255.303728,183744.387983,4,44,6,8.0672827
234,531255.303728,183744.387983,531275.851057,183743.153325,2,44,3,20.584391
235,531240.760077,183741.113908,531247.250971,183744.871861,2,45,3,7.5002608
236,531247.250971,183744.871861,531250.811287,183746.933134,4,45,6,4.1139636
237,531250.811287,183746.933134,531299.446867,183775.091082,4,45,6,56.198662
238,531299.446867,183775.091082,531311.29242,183781.949157,4,45,6,13.687597
239,531311.29242,183781.949157,531312.920852,183782.89195,2,45,3,1.8816611
240,531238.319539,183754.010217,531250.811287,183746.933134,2,46,3,14.357188
241,531250.811287,183746.933134,531255.303728,183744.387983,4,46,6,5.1633153
242,531255.303728,183744.387983,531297.758244,183720.335774,4,46,6,48.794411
243,531297.758244,183720.335774,531302.825685,183717.464863,4,46,6,5.8241816
244,531302.825685,183717.464863,531308.056265,183714.501526,2,46,3,6.011683
245,531293.948966,183547.909213,531294.100666,183550.806851,2,47,3,2.9016058
246,531294.100666,183550.806851,531302.825685,183717.464863,4,47,6,166.88625
247,531302.825685,183717.464863,531303.086878,183722.453957,4,47,6,4.9959264
248,531303.086878,183722.453957,531303.282375,183726.188181,2,47,3,3.7393384
249,530707.321114,183575.611283,530723.063265,183688.758214,2,48,3,114.23679
250,530723.063265,183688.758214,530730.767941,183744.135682,4,48,6,55.910877
251,530730.767941,183744.135682,530731.660534,183750.551207,2,48,3,6.4773207
252,530711.864142,183690.118506,530723.063265,183688.758214,2,49,3,11.281434
253,530723.063265,183688.758214,530804.10279,183678.914813,4,49,6,81.635147
254,530804.10279,183678.914813,530912.244928,183665.779416,4,49,6,108.93696
255,530912.244928,183665.779416,530942.320478,183662.126313,4,49,6,30.296598
256,530942.320478,183662.126313,530973.265559,183658.367594,2,49,3,31.17252
257,531139.131454,184142.888902,531140.793407,184138.095983,2,50,3,5.0728846
258,531140.793407,184138.095983,531154.133119,184099.625494,4,50,6,40.717644
259,531154.133119,184099.625494,531154.533228,184098.471616,2,50,3,1.2212785
260,531091.400795,184089.16428,531154.133119,184099.625494,2,51,3,63.598595
261,531154.133119,184099.625494,531155.786477,184099.901207,2,51,3,1.6761894
262,531060.226219,184127.683254,531060.553704,184121.39462,2,52,3,6.2971549
263,531060.553704,184121.39462,531060.782857,184116.994225,4,52,6,4.4063578
264,531060.782857,184116.994225,531065.497338,184026.462826,4,52,6,90.654068
265,531065.497338,184026.462826,531065.651469,184023.503075,2,52,3,2.9637616
266,530915.104898,184035.689587,530922.424921,184035.240495,2,53,3,7.3337865
267,530922.424921,184035.240495,531065.497338,184026.462826,4,53,6,143.34143
268,531065.497338,184026.462826,531206.527247,184017.810468,4,53,6,141.29507
269,531206.527247,184017.810468,531213.139122,184017.404821,2,53,3,6.6243067
270,531281.498924,184088.374506,531282.101437,184085.298468,2,54,3,3.1344907
271,531282.101437,184085.298468,531294.562642,184021.679734,4,54,6,64.827652
272,531294.562642,184021.679734,531294.732247,184020.813845,2,54,3,0.88234347
273,531263.310319,184015.655322,531268.479945,184016.651855,2,55,3,5.2647991
274,531268.479945,184016.651855,531294.562642,184021.679734,4,55,6,26.562881
275,531294.562642,184021.679734,531317.354673,184026.073282,4,55,6,23.211634
276,531317.354673,184026.073282,531322.328466,184027.032065,2,55,3,5.065361
277,531267.276193,184023.293136,531268.479945,184016.651855,2,56,3,6.7494917
278,531268.479945,184016.651855,531279.573531,183955.446867,4,56,6,62.202236
279,531279.573531,183955.446867,531279.998323,183953.103227,2,56,3,2.3818259
280,531276.790994,183954.982689,531279.573531,183955.446867,2,57,3,2.8209882
281,531279.573531,183955.446867,531304.31269,183959.573805,4,57,6,25.08102
282,531304.31269,183959.573805,531329.366877,183963.753297,4,57,6,25.400402
283,531329.366877,183963.753297,531332.164824,183964.220045,2,57,3,2.8366113
284,531315.938544,184033.420237,531317.354673,184026.073282,2,58,3,7.4821897
285,531317.354673,184026.073282,531329.366877,183963.753297,4,58,6,63.467106
286,531329.366877,183963.753297,531330.606508,183957.32202,2,58,3,6.5496569
287,530805.297175,183814.47291,530810.256885,183814.547701,2,59,3,4.9602737
288,530810.256885,183814.547701,530916.388132,183816.148133,4,59,6,106.14331
289,530916.388132,183816.148133,530917.998915,183816.172423,2,59,3,1.6109663
290,531137.25158,184338.103022,531139.683702,184338.865635,2,60,3,2.5488818
291,531139.683702,184338.865635,531374.160466,184412.387824,4,60,6,245.73332
292,531374.160466,184412.387824,531389.731841,184417.270361,2,60,3,16.318913
