Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
589839,1.2000000,5.7000000,1.2346631,1866.0000000,2303.8813477,109.0000000,41.7017403,21.5424004
589840,1.2000000,5.7600000,1.2086300,1866.0000000,2255.3034668,108.0000000,38.9855995,19.0403996
589841,1.2000000,5.8200000,1.1652731,1866.0000000,2174.3996582,105.0000000,35.6843071,16.4519997
589842,1.2000000,5.8800000,1.0589070,1866.0000000,1975.9205322,108.0000000,35.7182617,15.9300003
589843,1.2000000,5.9400000,0.9302866,1866.0000000,1735.9149170,230.0000000,278.3285522,631.5947876
589844,1.2000000,6.0000000,0.9280918,1866.0000000,1731.8193359,230.0000000,278.6875000,632.1420288
589845,1.2000000,6.0600000,1.0596359,1866.0000000,1977.2805176,110.0000000,38.0301857,18.3563995
589846,1.2000000,6.1200000,1.1356993,1866.0000000,2119.2148438,107.0000000,38.5610847,19.8899994
589847,1.2000000,6.1800000,1.2113750,1866.0000000,2260.4257812,106.0000000,40.7509613,22.6620007
589848,1.2000000,6.2400000,1.2360702,1866.0000000,2306.5068359,106.0000000,43.9252853,26.2943993
589849,1.2000000,6.3000000,1.2535237,1866.0000000,2339.0751953,106.0000000,47.7611961,30.6972008
589850,1.2000000,6.3600000,1.2666657,1866.0000000,2363.5981445,105.0000000,51.2503433,34.9452019
589851,1.2000000,6.4200000,1.2830102,1866.0000000,2394.0971680,104.0000000,55.6357536,40.5071983
589852,1.2000000,6.4800000,1.2991190,1866.0000000,2424.1560059,92.0000000,57.3942375,45.9539986
589853,1.2000000,6.5400000,1.2571273,1866.0000000,2345.7995605,93.0000000,59.1570091,49.6044006
589854,1.2000000,6.6000000,0.9924834,1866.0000000,1851.9739990,103.0000000,65.3104477,56.9196014
589855,1.2000000,6.6600000,0.9444709,1866.0000000,1762.3826904,195.0000000,282.1258850,611.1359863
589856,1.2000000,6.7200000,0.9569114,1866.0000000,1785.5966797,135.0000000,176.8101654,357.5916138
589857,1.2000000,6.7800000,1.1529486,1866.0000000,2151.4020996,63.0000000,46.0270386,50.0183983
589862,1.2000000,7.0800000,1.9640224,1866.0000000,3664.8657227,56.0000000,21.0193691,9.7740002
589863,1.2000000,7.1400000,1.6342047,1866.0000000,3049.4260254,91.0000000,34.6716347,16.9992008
589864,1.2000000,7.2000000,1.5687498,1866.0000000,2927.2871094,59.0000000,18.4995708,7.4664001
589865,1.2000000,7.2600000,1.5339894,1866.0000000,2862.4243164,53.0000000,13.9085665,4.5071998
