Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Choice,Metric Choice [SLW],Metric Mean Depth,Metric Mean Depth [SLW],Metric Total Depth,Metric Total Length,Metric Total Nodes,Segment Length
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,26,3,276,2231607.2,621.51251,706.66223,110007.71,12216.636,178,156.51314
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,26,4,237,951045.31,570.36212,650.8222,100954.09,12216.636,178,28.49353
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,26,5,288,2492043.5,535.03027,616.32928,94700.359,12216.636,178,152.589
96,531401.51399,183908.955152,531401.85296,183913.274241,4,26,5,777,3545870.8,483.02557,550.62256,85495.523,12216.636,178,4.3323708
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,27,4,372,804500.19,519.45062,600.08667,91942.758,12216.636,178,5.734199
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,27,5,583,1935564.8,532.47748,616.79163,94248.516,12216.636,178,58.77298
99,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,630,1700406.2,545.95398,627.96948,96633.852,12216.636,178,26.602385
100,531382.423865,183753.991164,531389.575254,183756.833909,4,27,5,213,382375.56,557.06451,636.7359,98600.422,12216.636,178,7.6956849
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,28,4,193,229332.38,519.2757,601.76917,91911.797,12216.636,178,14.008615
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,28,5,1014,2713687.2,528.10504,612.74512,93474.586,12216.636,178,51.947716
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,28,5,682,1928722.1,548.46515,631.16498,97078.336,12216.636,178,24.983932
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,28,4,459,1563810,558.79578,639.72644,98906.852,12216.636,178,8.5771065
105,531304.31269,183959.573805,531306.49671,183903.993471,4,29,5,1114,3288779,440.29617,511.97156,77932.422,12216.636,178,55.623226
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,29,5,1658,4636801.5,469.01642,552.32513,83015.906,12216.636,178,122.1385
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,29,4,1109,2604307.8,511.35098,593.37769,90509.125,12216.636,178,13.437029
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,30,4,292,1047224.6,397.77039,448.92859,70405.359,12216.636,178,81.830719
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,30,5,694,4018412,378.94876,432.39423,67073.93,12216.636,178,11.665026
110,531168.490957,183890.561739,531174.661661,183891.162317,3.2466779,30,5,472,1187158.8,377.99945,432.63547,66905.898,12216.636,178,6.1998625
111,531174.661661,183891.162317,531180.045933,183891.686354,4,30,6,1821,6398277,377.31677,432.60187,66785.062,12216.636,178,5.4097123
112,531180.045933,183891.686354,531246.846002,183898.187827,3.0539846,30,5,2180,8006055,396.3609,457.77579,70155.883,12216.636,178,67.115707
113,531246.846002,183898.187827,531306.49671,183903.993471,2.9460154,30,5,2041,7389508,422.23285,492.91483,74735.211,12216.636,178,59.932568
114,531306.49671,183903.993471,531401.85296,183913.274241,3.1116269,30,5,1039,4403857,459.923,533.11456,81406.375,12216.636,178,95.806824
115,531401.85296,183913.274241,531402.048405,183913.293264,2.8883731,30,4,1331,5525181.5,481.45816,548.74615,85218.094,12216.636,178,0.19636907
116,531056.009523,183972.375108,531073.801917,183889.143858,2.9463861,31,4,286,1379813.2,451.86359,497.3522,79979.852,12216.636,178,85.111755
117,531073.801917,183889.143858,531075.434914,183881.504842,2.9276934,31,4,231,453879.47,413.36685,456.01471,73165.93,12216.636,178,7.8116097
118,530986.848212,183887.403694,531004.835486,183965.872851,2.7760887,32,3,243,1248730,473.46878,505.74927,83803.969,12216.636,178,80.504349
119,531004.835486,183965.872851,531056.009523,183972.375108,1.7224751,33,2,178,634391.81,488.81793,525.21686,86520.773,12216.636,178,51.585476
120,530712.688736,183881.917068,530813.405101,183883.932657,4,34,5,630,4362398.5,554.68005,561.73846,98178.375,12216.636,178,100.73653
