Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
589863,1.20000000,7.14000000,2.25270915,91.00000000,34.67163467,16.99920082
589864,1.20000000,7.20000000,2.04787636,59.00000000,18.49957085,7.46640015
589865,1.20000000,7.26000000,1.95754194,53.00000000,13.90856647,4.50719976
589866,1.20000000,7.32000000,1.86676848,55.00000000,14.38762951,4.71239996
589867,1.20000000,7.38000000,1.87837517,56.00000000,14.85981560,5.05079985
589868,1.20000000,7.44000000,1.85784614,55.00000000,14.69640732,5.10120010
589869,1.20000000,7.50000000,1.86580348,57.00000000,16.70959282,6.72840023
589870,1.20000000,7.56000000,1.87264860,58.00000000,18.37224197,8.12160015
589871,1.20000000,7.62000000,1.87859821,70.00000000,26.22880936,13.57199955
589872,1.20000000,7.68000000,1.88381624,97.00000000,39.70424271,21.24360085
589873,1.20000000,7.74000000,1.88842940,65.00000000,29.48315430,17.60759926
655365,1.26000000,5.10000000,1.47583604,99.00000000,45.31852341,31.56480026
655366,1.26000000,5.16000000,1.24411988,107.00000000,44.77974701,28.57320023
655367,1.26000000,5.22000000,1.18066883,120.00000000,52.11532593,34.58160019
655368,1.26000000,5.28000000,1.33662713,101.00000000,34.01179123,17.17560005
655369,1.26000000,5.34000000,1.55500293,92.00000000,26.10086250,9.78120041
655370,1.26000000,5.40000000,1.68066883,84.00000000,22.15407944,7.00920010
655371,1.26000000,5.46000000,1.77100325,77.00000000,22.19387054,7.53480005
655373,1.26000000,5.58000000,1.81661820,100.00000000,45.40021515,26.60759926
655374,1.26000000,5.64000000,1.78632593,106.00000000,44.57954407,24.29640007
655375,1.26000000,5.70000000,1.70004630,104.00000000,40.01206589,19.96920013
655376,1.26000000,5.76000000,1.64711690,104.00000000,37.26912308,17.34119987
655377,1.26000000,5.82000000,1.56795001,103.00000000,35.24887466,15.75360012
655378,1.26000000,5.88000000,1.31661820,101.00000000,32.40088654,13.55760002
655379,1.26000000,5.94000000,0.94228411,226.00000000,268.78515625,601.01281738
655380,1.26000000,6.00000000,0.91871643,225.00000000,268.51458740,601.16760254
655381,1.26000000,6.06000000,1.31661820,100.00000000,33.13113022,15.20639992
655382,1.26000000,6.12000000,1.56795001,99.00000000,34.67346191,17.03520012
655383,1.26000000,6.18000000,1.64711690,97.00000000,35.48718643,18.21960068
655384,1.26000000,6.24000000,1.70004630,96.00000000,38.42972565,21.57119942
655385,1.26000000,6.30000000,1.76767159,96.00000000,42.96661377,26.61479950
655386,1.26000000,6.36000000,1.78820062,95.00000000,47.20066833,31.46400070
655390,1.26000000,6.60000000,1.22755957,53.00000000,26.02251625,18.82439995
655391,1.26000000,6.66000000,1.02272677,162.00000000,243.24531555,548.57879639
655392,1.26000000,6.72000000,0.99465042,103.00000000,95.89870453,140.72039795
655393,1.26000000,6.78000000,1.26496470,45.00000000,18.28397369,10.91880035
655395,1.26000000,6.90000000,1.61306119,36.00000000,14.51510143,7.92719984
655396,1.26000000,6.96000000,1.71353471,44.00000000,16.56618500,8.31599998
655398,1.26000000,7.08000000,1.85784614,64.00000000,21.48293114,9.23760033
655399,1.26000000,7.14000000,1.87264860,97.00000000,37.43161011,18.11879921
655400,1.26000000,7.20000000,1.88381624,68.00000000,20.04107094,7.62839985
655401,1.26000000,7.26000000,1.89253640,57.00000000,15.19201660,5.36759996
655402,1.26000000,7.32000000,1.89953208,57.00000000,14.75576210,5.14799976
655403,1.26000000,7.38000000,1.90526724,55.00000000,14.16781330,5.14080000
655404,1.26000000,7.44000000,1.91005373,56.00000000,14.94498730,5.80679989
655405,1.26000000,7.50000000,1.91410851,57.00000000,16.18703270,6.87599993
655406,1.26000000,7.56000000,1.91758728,60.00000000,18.30079842,8.43120003
655407,1.26000000,7.62000000,1.92060447,74.00000000,25.84308052,12.79440022
655408,1.26000000,7.68000000,1.92324603,97.00000000,39.62985229,20.96999931
655409,1.26000000,7.74000000,1.92557788,66.00000000,27.51416588,15.94079971
720901,1.32000000,5.10000000,1.55500293,87.00000000,33.76599121,18.19079971
720902,1.32000000,5.16000000,1.30633473,91.00000000,29.83559036,13.16520023
720903,1.32000000,5.22000000,1.18066883,106.00000000,38.54634476,20.59919930
720904,1.32000000,5.28000000,1.38550162,87.00000000,23.62095451,8.12160015
720905,1.32000000,5.34000000,1.68066883,79.00000000,20.41659355,6.43680000
720906,1.32000000,5.40000000,1.80633473,77.00000000,21.13310242,6.98759985
720907,1.32000000,5.46000000,1.88550162,73.00000000,22.17960930,7.99560022
720909,1.32000000,5.58000000,1.94228411,89.00000000,40.86299133,23.33160019
720910,1.32000000,5.64000000,1.94228411,94.00000000,39.41131210,20.65679932
720911,1.32000000,5.70000000,1.94228411,99.00000000,39.29815292,19.48320007
720912,1.32000000,5.76000000,1.94228411,98.00000000,36.76203156,17.33399963
720913,1.32000000,5.82000000,1.94228411,98.00000000,34.90399170,15.55920029
720914,1.32000000,5.88000000,1.64711690,99.00000000,34.05794525,14.75640011
720915,1.32000000,5.94000000,0.94228411,224.00000000,262.35757446,573.84362793
720916,1.32000000,6.00000000,0.91781080,224.00000000,262.78009033,574.47717285
720917,1.32000000,6.06000000,1.64711690,98.00000000,34.83038330,16.44120026
720918,1.32000000,6.12000000,1.89333749,96.00000000,35.73641205,17.90640068
720919,1.32000000,6.18000000,1.89333749,96.00000000,38.88750839,21.74399948
720920,1.32000000,6.24000000,1.89333749,96.00000000,41.45770645,24.49440002
720921,1.32000000,6.30000000,1.89333749,95.00000000,44.93205643,28.67040062
